"Data Structures","Algorithms","Operating Systems","Computer Networks","Database Management","Object Oriented Programming","Computer Architecture","Discrete Mathematics","Theory of Computation","Compiler Design","Artificial Intelligence","Machine Learning","Deep Learning","Computer Graphics","Software Engineering","Web Development","Mobile App Development","Cybersecurity","Cryptography","Cloud Computing","Distributed Systems","Parallel Computing","Natural Language Processing","Computer Vision","Robotics","Embedded Systems","Digital Logic Design","Microprocessors","Linear Algebra","Probability and Statistics","Numerical Methods","Information Theory","Data Mining","Big Data Analytics","Internet of Things","Blockchain Technology","Human Computer Interaction","Software Testing","DevOps","API Design and Development","Data Visualization","Network Security","Digital Signal Processing","Image Processing","Programming Languages","Functional Programming","System Programming","Game Development","Quantum Computing","Bioinformatics","Ethical Hacking","Formal Methods","Graph Theory","Advanced Algorithms","Computer Ethics"
35,84,76,81,76,75,72,61,28,66,57,75,47,80,81,81,80,58,61,77,80,97,67,60,68,65,83,75,75,80,65,84,70,77,73,72,72,76,58,81,87,68,61,71,54,48,50,76,50,55,56,60,68,53,78
49,69,56,71,88,83,67,60,64,57,96,59,55,55,57,86,55,75,41,76,76,66,80,72,82,58,81,56,65,71,64,82,94,63,78,58,67,96,79,62,77,77,61,59,54,66,63,79,80,70,73,44,69,48,86
82,68,78,75,77,61,48,57,62,80,93,71,44,62,79,78,83,74,78,52,48,60,62,79,79,59,59,63,92,70,74,61,63,81,53,74,84,74,68,70,74,80,46,61,63,73,64,78,45,75,47,42,63,91,83
82,69,89,81,65,66,41,49,59,77,64,70,62,77,64,78,64,51,64,77,79,61,44,47,86,69,74,77,82,44,55,68,88,74,54,55,79,70,52,68,83,77,54,72,61,39,85,74,16,59,69,69,29,60,79
59,57,58,74,60,66,47,38,39,49,77,64,76,70,75,79,56,64,66,85,83,63,65,82,61,43,65,63,41,77,57,41,65,62,70,69,100,76,61,59,72,58,57,82,69,89,46,52,62,54,60,61,45,61,91
68,35,45,75,73,66,72,39,38,79,73,74,75,68,69,76,72,89,45,63,75,95,85,57,70,48,75,69,44,67,69,76,85,61,64,65,75,63,58,82,79,44,65,72,69,76,67,77,49,63,64,48,70,37,73
69,62,54,92,67,55,40,73,36,63,57,73,80,45,100,81,64,83,54,66,63,78,68,71,86,52,57,51,60,86,44,76,69,70,75,69,75,70,75,77,83,73,84,66,68,80,64,84,61,58,75,52,59,48,96
57,51,72,60,76,62,68,64,53,38,85,87,82,58,83,88,76,74,64,78,55,37,73,53,74,38,74,77,53,63,76,70,79,58,71,53,63,76,63,82,83,80,79,79,62,96,67,72,67,56,61,32,48,60,79
64,87,76,65,69,60,68,77,16,32,63,52,63,68,73,83,57,68,71,60,66,62,57,78,49,80,63,92,66,28,39,61,83,82,79,73,69,67,64,85,87,68,63,77,82,46,50,68,44,59,50,43,91,55,80
56,73,56,58,78,74,81,72,71,72,77,48,82,63,81,88,81,60,82,73,78,82,73,69,69,52,77,73,74,67,34,51,69,89,66,77,82,65,59,83,70,78,71,74,76,69,73,74,68,55,64,64,77,67,66
80,29,73,59,54,65,72,64,59,67,76,82,56,74,84,78,80,62,59,71,59,61,66,89,73,60,72,57,66,72,61,89,64,64,85,66,75,76,67,68,84,53,61,54,34,67,78,74,31,81,73,21,77,57,85
60,65,68,65,77,61,55,54,62,86,80,73,69,59,71,85,73,73,58,75,69,63,67,83,59,76,58,88,64,60,70,66,82,83,79,50,96,67,80,87,83,77,87,58,45,82,78,77,44,44,61,40,52,66,77
